K04D0012_H0011:1b-0	@1b [dd] *//	[dd]_4 
K04D0012_H0011:5a-27	pa med pa la gnas pa'i mchog tu gsungs pa	ba_0 med_3 ba_7 la_10 gnas_13 ba_18 mchog_23 tu_29 gsungs_32 ba_39 
K04D0012_H0011:5a-28	ltar ston pa legs so /	ltar_0 ston_5 ba_10 legs_13 so_18 
K04D0012_H0011:5a-29	legs so //	legs_0 so_5 
K04D0012_H0011:5a-30	de bas na /	de_0 ba_3 na_7 
K04D0012_H0011:5a-31	yang byang chub sems dpa' sems dpa' chen po bla	yang_0 byang_5 chub_11 sems_16 dpa'_21 sems_26 dpa'_31 chen_36 po_41 bla_44 
K04D0012_H0011:5a-32	na med pa yang dag par rdzogs pa'i byang chub	na_0 med_3 ba_7 yang_10 'dag_15 ba_19 rdzogs_23 ba_30 byang_35 chub_41 
K04D0012_H0011:5a-33	las phyir mi ldog par nye bar brtag par bya'o	las_0 phyir_4 mi_10 ldog_13 ba_18 nye_22 ba_26 rtog_30 ba_36 byed_40 
K04D0012_H0011:5a-34	// byang chub sems dpa' sems dpa' chen po shes	byang_3 chub_9 sems_14 dpa'_19 sems_24 dpa'_29 chen_34 po_39 shes_42 
K04D0012_H0011:5a-35	rab kyi pha rol tu phyin pa dang ma bral	rab_0 kyi_4 pha_8 rol_12 tu_16 phyin_19 ba_25 dang_28 ma_33 'bral_36 
K04D0012_H0011:5a-36	bar yang rig par bya'o //	ba_0 yang_4 rig_9 ba_13 byed_17 
K04D0012_H0011:5b-0	nyan thos kyi sa la slob @5b par 'dod pas	nyan_0 thos_5 kyi_10 sa_14 la_17 slob_20 ba_29 'dod_33 ba_38 
K04D0012_H0011:5b-1	kyang shes rab kyi pha rol tu phyin pa 'di	kyang_0 shes_6 rab_11 kyi_15 pha_19 rol_23 tu_27 phyin_30 ba_36 'di_39 
K04D0012_H0011:5b-2	nyid mnyan par bya /	nyid_0 nyan_5 ba_11 byed_15 
K04D0012_H0011:5b-3	gzung bar bya /	gzung_0 ba_6 byed_10 
K04D0012_H0011:5b-4	bcang bar bya /	'chang_0 ba_6 byed_10 
K04D0012_H0011:5b-5	klag par bya /	klag_0 ba_5 byed_9 
K04D0012_H0011:5b-6	kun chub par bya /	kun_0 chub_4 ba_9 byed_13 
K04D0012_H0011:5b-7	rab tu gdon par bya'o //	rab_0 tu_4 'don_7 ba_12 byed_16 
K04D0012_H0011:5b-8	shes rab kyi pha rol tu phyin pa 'di nyid la bslab par bya'o //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 'di_33 nyid_37 la_42 bslab_45 ba_51 byed_55 
K04D0012_H0011:5b-9	rnal 'byor du bya'o //	rnal_0 'byor_5 du_11 byed_14 
K04D0012_H0011:5b-10	rang sangs rgyas kyi sa la slob par 'dod pas	rang_0 sangs_5 rgya_11 kyi_17 sa_21 la_24 slob_27 ba_32 'dod_36 ba_41 
K04D0012_H0011:5b-11	kyang shes rab kyi pha rol tu phyin pa 'di	kyang_0 shes_6 rab_11 kyi_15 pha_19 rol_23 tu_27 phyin_30 ba_36 'di_39 
K04D0012_H0011:5b-12	nyid mnyan par bya /	nyid_0 nyan_5 ba_11 byed_15 
K04D0012_H0011:5b-13	gzung bar bya; bcang bar bya /	gzung_0 ba_6 bya;_10 'chang_15 ba_21 byed_25 
K04D0012_H0011:5b-14	klag par bya /	klag_0 ba_5 byed_9 
K04D0012_H0011:5b-15	kun chub par bya /	kun_0 chub_4 ba_9 byed_13 
K04D0012_H0011:5b-16	rab tu gdon par bya'o //	rab_0 tu_4 'don_7 ba_12 byed_16 
K04D0012_H0011:5b-17	shes rab kyi pha rol tu phyin pa 'di nyid la bslab par bya'o //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 'di_33 nyid_37 la_42 bslab_45 ba_51 byed_55 
K04D0012_H0011:5b-18	rnal 'byor du bya'o //	rnal_0 'byor_5 du_11 byed_14 
K04D0012_H0011:5b-19	byang chub sems dpa'i sa la slob par 'dod pas	byang_0 chub_6 sems_11 dpa_16 sa_22 la_25 slob_28 ba_33 'dod_37 ba_42 
K04D0012_H0011:5b-20	kyang shes rab kyi pha rol tu phyin pa 'di	kyang_0 shes_6 rab_11 kyi_15 pha_19 rol_23 tu_27 phyin_30 ba_36 'di_39 
K04D0012_H0011:5b-21	nyid mnyan par bya /	nyid_0 nyan_5 ba_11 byed_15 
K04D0012_H0011:5b-22	gzung par bya /	gzung_0 ba_6 byed_10 
K04D0012_H0011:5b-23	bcang bar bya /	'chang_0 ba_6 byed_10 
K04D0012_H0011:5b-24	klag par bya /	klag_0 ba_5 byed_9 
K04D0012_H0011:5b-25	kun chub par bya /	kun_0 chub_4 ba_9 byed_13 
K04D0012_H0011:5b-26	rab tu gdon par bya'o //	rab_0 tu_4 'don_7 ba_12 byed_16 
K04D0012_H0011:5b-27	shes rab kyi pha rol tu phyin pa 'di nyid	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 'di_33 nyid_37 
K04D0012_H0011:5b-28	la thabs mkhas pa dang ldan pas byang chub sems	la_0 thabs_3 mkhas_9 ba_15 dang_18 ldan_23 ba_28 byang_32 chub_38 sems_43 
K04D0012_H0011:5b-29	dpa'i chos thams cad thob par bya ba'i phyir rnal	dpa_0 chos_6 thams_11 cad_17 'thob_21 ba_26 byed_30 ba_34 phyir_39 rnal_45 
K04D0012_H0011:5b-30	'byor du bya'o // de ci'i phyir zhe na /	'byor_0 du_6 byed_9 de_18 ci_21 phyir_26 zhe_32 na_36 
K04D0012_H0011:5b-31	byang chub sems dpa' sems dpa' chen pos gang la	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 pos_36 gang_40 la_45 
K04D0012_H0011:5b-32	bslab cing rnal 'byor du bya ba'i byang chub sems	bslab_0 cing_6 rnal_11 'byor_16 du_22 byed_25 ba_29 byang_34 chub_40 sems_45 
K04D0012_H0011:5b-33	dpa'i chos thams cad rgyas par shes rab kyi pha	dpa_0 chos_6 thams_11 cad_17 rgya_21 ba_27 shes_31 rab_36 kyi_40 pha_44 
K04D0012_H0011:5b-34	rol tu phyin pa 'di nyid las bstan to //	rol_0 tu_4 phyin_7 ba_13 'di_16 nyid_20 las_25 ston_29 to_35 
K04D0012_H0011:5b-35	bla na med pa yang dag par rdzogs pa'i byang	bla_0 na_4 med_7 ba_11 yang_14 'dag_19 ba_23 rdzogs_27 ba_34 byang_39 
K04D0012_H0011:5b-36	chub la slob par 'dod pas kyang shes rab kyi	chub_0 la_5 slob_8 ba_13 'dod_17 ba_22 kyang_26 shes_32 rab_37 kyi_41 
K04D0012_H0011:5b-37	pha rol tu phyin pa 'di nyid mnyan par bya	pha_0 rol_4 tu_8 phyin_11 ba_17 'di_20 nyid_24 nyan_29 ba_35 byed_39 
K04D0012_H0011:5b-38	/ gzung bar bya /	gzung_2 ba_8 byed_12 
K04D0012_H0011:5b-39	bcang bar bya /	'chang_0 ba_6 byed_10 
K04D0012_H0011:5b-40	klag par bya /	klag_0 ba_5 byed_9 
K04D0012_H0011:6a-0	kun @6a *//	kun_0 
K04D0012_H0011:6a-1	chub par bya /	chub_0 ba_5 byed_9 
K04D0012_H0011:6a-2	rab tu gdon par bya'o //	rab_0 tu_4 'don_7 ba_12 byed_16 
K04D0012_H0011:6a-3	shes rab kyi pha rol tu phyin pa 'di nyid	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 'di_33 nyid_37 
K04D0012_H0011:6a-4	la thabs mkhas pa dang ldan pas sangs rgyas kyi	la_0 thabs_3 mkhas_9 ba_15 dang_18 ldan_23 ba_28 sangs_32 rgya_38 kyi_44 
K04D0012_H0011:6a-5	chos thams cad thob par bya ba'i phyir rnal 'byor	chos_0 thams_5 cad_11 'thob_15 ba_20 byed_24 ba_28 phyir_33 rnal_39 'byor_44 
K04D0012_H0011:6a-6	du bya'o // de ci'i phyir zhe na /	du_0 byed_3 de_12 ci_15 phyir_20 zhe_26 na_30 
K04D0012_H0011:6a-7	shes rab kyi pha rol tu phyin pa 'di nyid las ni /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 'di_33 nyid_37 las_42 ni_46 
K04D0012_H0011:6a-8	byang chub sems dpa' sems dpa' chen pos gang la bslab par bya ba dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 pos_36 gang_40 la_45 bslab_48 ba_54 byed_58 ba_62 dang_65 
K04D0012_H0011:6a-9	rnal 'byor du bya ba'i sangs rgyas kyi chos thams cad rgyas par bstan to //	rnal_0 'byor_5 du_11 byed_14 ba_18 sangs_23 rgya_29 kyi_35 chos_39 thams_44 cad_50 rgya_54 ba_60 ston_64 to_70 
K04D0012_H0011:6a-10	de nas bcom ldan 'das la tshe dang ldan pa rab 'byor gyis 'di skad ces gsol to //	de_0 nas_3 'joms_7 ldan_12 'da'_17 la_22 tshe_25 dang_30 ldan_35 ba_40 rab_43 'byor_47 gyis_53 'di_58 skad_62 ces_67 gsol_71 to_76 
K04D0012_H0011:6a-11	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:6a-12	byang chub sems dpa'i ming gang lags pa 'di nyid bdag gis ma 'tshal /	byang_0 chub_6 sems_11 dpa_16 ming_22 gang_27 lags_32 ba_37 'di_40 nyid_44 bdag_49 gis_54 ma_58 'tshal_61 
K04D0012_H0011:6a-13	ma dmigs /	ma_0 dmigs_3 
K04D0012_H0011:6a-14	yang dag par rjes su mi mthong ngo //	yang_0 'dag_5 ba_9 rjes_13 su_18 mi_21 mthong_24 ngo_31 
K04D0012_H0011:6a-15	shes rab kyi pha rol tu phyin pa'ang ma 'tshal /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 ma_37 'tshal_40 
K04D0012_H0011:6a-16	ma dmigs /	ma_0 dmigs_3 
K04D0012_H0011:6a-17	yang dag par rjes su mi mthong ngo //	yang_0 'dag_5 ba_9 rjes_13 su_18 mi_21 mthong_24 ngo_31 
K04D0012_H0011:6a-18	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:6a-19	bdag gis byang chub sems dpa'i ming 'di nyid ma 'tshal /	bdag_0 gis_5 byang_9 chub_15 sems_20 dpa_25 ming_31 'di_36 nyid_40 ma_45 'tshal_48 
K04D0012_H0011:6a-20	ma dmigs /	ma_0 dmigs_3 
K04D0012_H0011:6a-21	yang dag par rjes su ma mthong /	yang_0 'dag_5 ba_9 rjes_13 su_18 ma_21 mthong_24 
K04D0012_H0011:6a-22	shes rab kyi pha rol tu phyin pa'ang ma 'tshal /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 ma_37 'tshal_40 
K04D0012_H0011:6a-23	ma dmigs /	ma_0 dmigs_3 
K04D0012_H0011:6a-24	yang dag par rjes su ma mthong na /	yang_0 'dag_5 ba_9 rjes_13 su_18 ma_21 mthong_24 na_31 
K04D0012_H0011:6a-25	byang chub sems dpa' gang zhig shes rab kyi pha	byang_0 chub_6 sems_11 dpa'_16 gang_21 'jig_26 shes_31 rab_36 kyi_40 pha_44 
K04D0012_H0011:6a-26	rol tu phyin pa gang la gdams shing rjes su	rol_0 tu_4 phyin_7 ba_13 gang_16 la_21 'doms_24 shing_30 rjes_36 su_41 
K04D0012_H0011:6a-27	bstan par bgyi / bcom ldan 'das /	ston_0 ba_6 bgyid_10 'joms_17 ldan_22 'da'_27 
K04D0012_H0011:6a-28	gang bdag gis dngos po ma 'tshal /	gang_0 bdag_5 gis_10 dngos_14 po_20 ma_23 'tshal_26 
K04D0012_H0011:6a-29	ma dmigs /	ma_0 dmigs_3 
K04D0012_H0011:6a-30	yang dag par rjes su ma mthong na /	yang_0 'dag_5 ba_9 rjes_13 su_18 ma_21 mthong_24 na_31 
K04D0012_H0011:6a-31	ming tsam gyis 'di lta ste /	ming_0 tsam_5 gyis_10 'di_15 lta_19 ste_23 
K04D0012_H0011:6b-0	byang chub @6b sems dpa' zhes 'du ba dang /	byang_0 chub_6 sems_15 dpa'_20 zhes_25 'du_30 ba_34 dang_37 
K04D0012_H0011:6b-1	'god par bgyid pa ni /	'god_0 ba_5 bgyid_9 ba_15 ni_18 
K04D0012_H0011:6b-2	bdag gi glo ba la gcags lags so //	bdag_0 gi_5 glo_8 ba_12 la_15 'jags_18 lags_24 so_29 
K04D0012_H0011:6b-3	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:6b-4	'on kyang ming de yang gnas pa ma lags shing /	'on_0 kyang_4 ming_10 de_15 yang_18 gnas_23 ba_28 ma_31 lags_34 shing_39 
K04D0012_H0011:6b-5	mi gnas pa'ang ma lags la /	mi_0 gnas_3 ba_8 ma_15 lags_18 la_23 
K04D0012_H0011:6b-6	gnas pa dang bral ba ma lags shing gnas pa dang bral ba ma lags pa'ang ma lags so //	gnas_0 ba_5 dang_8 'bral_13 ba_18 ma_21 lags_24 shing_29 gnas_35 ba_40 dang_43 'bral_48 ba_53 ma_56 lags_59 ba_64 ma_71 lags_74 so_79 
K04D0012_H0011:6b-7	de ci'i slad du zhe na /	de_0 ci_3 slad_8 du_13 zhe_16 na_20 
K04D0012_H0011:6b-8	ming de ma mchis pa'i slad du'o //	ming_0 de_5 ma_8 mchis_11 ba_17 slad_22 du_27 
K04D0012_H0011:6b-9	de ltar ming de gnas pa ma lags shing mi gnas pa'ang ma lags la /	de_0 ltar_3 ming_8 de_13 gnas_16 ba_21 ma_24 lags_27 shing_32 mi_38 gnas_41 ba_46 ma_53 lags_56 la_61 
K04D0012_H0011:6b-10	gnas pa dang bral ba ma lags shing gnas pa dang bral ba ma lags pa'ang ma lags so //	gnas_0 ba_5 dang_8 'bral_13 ba_18 ma_21 lags_24 shing_29 gnas_35 ba_40 dang_43 'bral_48 ba_53 ma_56 lags_59 ba_64 ma_71 lags_74 so_79 
K04D0012_H0011:6b-11	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:6b-12	gal te de ltar shes rab kyi pha rol tu phyin pa zab mo bshad pa dang /	gal_0 te_4 de_7 ltar_10 shes_15 rab_20 kyi_24 pha_28 rol_32 tu_36 phyin_39 ba_45 zab_48 mo_52 'chad_55 ba_61 dang_64 
K04D0012_H0011:6b-13	bstan pa dang /	ston_0 ba_6 dang_9 
K04D0012_H0011:6b-14	nye bar bstan pa la byang chub sems dpa' sems dpa' chen po'i sems mi 'gong /	nye_0 ba_4 ston_8 ba_14 la_17 byang_20 chub_26 sems_31 dpa'_36 sems_41 dpa'_46 chen_51 po_56 sems_61 mi_66 'gong_69 
K04D0012_H0011:6b-15	kun tu mi zhum /	kun_0 tu_4 mi_7 zhum_10 
K04D0012_H0011:6b-16	bag mi tsha /	bag_0 mi_4 tsha_7 
K04D0012_H0011:6b-17	bag 'khums par mi 'gyur /	bag_0 'khums_4 ba_11 mi_15 'gyur_18 
K04D0012_H0011:6b-18	'di'i yid phyir phyogs par mi bgyid /	'di_0 yid_6 phyir_10 phyogs_16 ba_23 mi_27 bgyid_30 
K04D0012_H0011:6b-19	bcom zhing phyir phyogs par mi 'gyur /	'joms_0 zhing_5 phyir_11 phyogs_17 ba_24 mi_28 'gyur_31 
K04D0012_H0011:6b-20	mi dngang /	mi_0 dngang_3 
K04D0012_H0011:6b-21	kun tu mi skrag /	kun_0 tu_4 mi_7 skrag_10 
K04D0012_H0011:6b-22	kun tu skrag pa dang ldan par mi 'gyur zhing /	kun_0 tu_4 skrag_7 ba_13 dang_16 ldan_21 ba_26 mi_30 'gyur_33 zhing_39 
K04D0012_H0011:6b-23	lhag pa'i bsam pas mos pa'i byang chub sems dpa' sems dpa' chen po ni /	lhag_0 ba_5 bsam_10 ba_15 mos_19 ba_23 byang_28 chub_34 sems_39 dpa'_44 sems_49 dpa'_54 chen_59 po_64 ni_67 
K04D0012_H0011:6b-24	shes rab kyi pha rol tu phyin pa dang ma bral bar rig par bgyi'o //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 dang_33 ma_38 'bral_41 ba_46 rig_50 ba_54 bgyid_58 
K04D0012_H0011:6b-25	phyir mi ldog pa'i byang chub sems dpa'i sa la gnas pa ste /	phyir_0 mi_6 ldog_9 ba_14 byang_19 chub_25 sems_30 dpa_35 sa_41 la_44 gnas_47 ba_52 ste_55 
K04D0012_H0011:6b-26	mi gnas pa'i tshul gyis legs par gnas pa lags so //	mi_0 gnas_3 ba_8 tshul_13 gyis_19 legs_24 ba_29 gnas_33 ba_38 lags_41 so_46 
K04D0012_H0011:6b-27	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:7a-0	gzhan yang byang chub sems dpa' sems dpa' chen po shes rab @7a *//	gzhan_0 yang_6 byang_11 chub_17 sems_22 dpa'_27 sems_32 dpa'_37 chen_42 po_47 shes_50 rab_55 
K04D0012_H0011:7a-1	kyi pha rol tu phyin pa la spyod cing shes	kyi_0 pha_4 rol_8 tu_12 phyin_15 ba_21 la_24 spyod_27 cing_33 shes_38 
K04D0012_H0011:7a-2	rab kyi pha rol tu phyin pa sgom pas gzugs	rab_0 kyi_4 pha_8 rol_12 tu_16 phyin_19 ba_25 sgom_28 ba_33 gzugs_37 
K04D0012_H0011:7a-3	la gnas par mi bgyi'o //	la_0 gnas_3 ba_8 mi_12 bgyid_15 
K04D0012_H0011:7a-4	de bzhin du tshor ba la ma lags /	de_0 bzhin_3 du_9 tshor_12 ba_18 la_21 ma_24 lags_27 
K04D0012_H0011:7a-5	'du shes la ma lags /	'du_0 shes_4 la_9 ma_12 lags_15 
K04D0012_H0011:7a-6	'du byed rnams la ma lags /	'du_0 byed_4 rnams_9 la_15 ma_18 lags_21 
K04D0012_H0011:7a-7	rnam par shes pa la gnas par mi bgyi'o //	rnam_0 ba_5 shes_9 ba_14 la_17 gnas_20 ba_25 mi_29 bgyid_32 
K04D0012_H0011:7a-8	de ci'i slad du zhe na /	de_0 ci_3 slad_8 du_13 zhe_16 na_20 
K04D0012_H0011:7a-9	gal te gzugs la gnas na /	gal_0 te_4 gzugs_7 la_13 gnas_16 na_21 
K04D0012_H0011:7a-10	gzugs mngon par 'du byed pa la spyod kyi /	gzugs_0 mngon_6 ba_12 'du_16 byed_20 ba_25 la_28 spyod_31 kyi_37 
K04D0012_H0011:7a-11	shes rab kyi pha rol tu phyin pa la spyod pa ma lags so //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 ba_42 ma_45 lags_48 so_53 
K04D0012_H0011:7a-12	de bzhin du gal te tshor ba dang /	de_0 bzhin_3 du_9 gal_12 te_16 tshor_19 ba_25 dang_28 
K04D0012_H0011:7a-13	'du shes dang /	'du_0 shes_4 dang_9 
K04D0012_H0011:7a-14	'du byed rnams dang /	'du_0 byed_4 rnams_9 dang_15 
K04D0012_H0011:7a-15	gal te rnam par shes pa la gnas na /	gal_0 te_4 rnam_7 ba_12 shes_16 ba_21 la_24 gnas_27 na_32 
K04D0012_H0011:7a-16	rnam par shes pa mngon par 'du byed pa la spyod kyi /	rnam_0 ba_5 shes_9 ba_14 mngon_17 ba_23 'du_27 byed_31 ba_36 la_39 spyod_42 kyi_48 
K04D0012_H0011:7a-17	shes rab kyi pha rol tu phyin pa la spyod pa ma lags so //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 ba_42 ma_45 lags_48 so_53 
K04D0012_H0011:7a-18	de ci'i slad du zhe na /	de_0 ci_3 slad_8 du_13 zhe_16 na_20 
K04D0012_H0011:7a-19	mngon par 'du byed pa la spyod na /	mngon_0 ba_6 'du_10 byed_14 ba_19 la_22 spyod_25 na_31 
K04D0012_H0011:7a-20	shes rab kyi pha rol tu phyin pa yongs su 'dzin pa ma lags /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 yongs_33 su_39 'dzin_42 ba_48 ma_51 lags_54 
K04D0012_H0011:7a-21	shes rab kyi pha rol tu phyin pa la rnal 'byor du bgyid pa'ang ma lags /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 rnal_36 'byor_41 du_47 bgyid_50 ba_56 ma_63 lags_66 
K04D0012_H0011:7a-22	shes rab kyi pha rol tu phyin pa yongs su rdzogs par bgyid pa'ang ma lags so //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 yongs_33 su_39 rdzogs_42 ba_49 bgyid_53 ba_59 ma_66 lags_69 so_74 
K04D0012_H0011:7a-23	shes rab kyi pha rol tu phyin pa yongs su rdzogs par ma gyur na /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 yongs_33 su_39 rdzogs_42 ba_49 ma_53 gyur_56 na_61 
K04D0012_H0011:7a-24	yongs su mi gzung ba yongs su gzung bas thams	yongs_0 su_6 mi_9 gzung_12 ba_18 yongs_21 su_27 gzung_30 ba_36 thams_40 
K04D0012_H0011:7a-25	cad mkhyen pa nyid la nges par 'byung bar mi	cad_0 mkhyen_4 ba_11 nyid_14 la_19 nges_22 ba_27 'byung_31 ba_38 mi_42 
K04D0012_H0011:7a-26	'gyur ro // de ci'i slad du zhe na /	'gyur_0 ro_6 de_12 ci_15 slad_20 du_25 zhe_28 na_32 
K04D0012_H0011:7a-27	shes rab kyi pha rol tu phyin pa la gzugs yongs su gzung ba ma mchis so //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 gzugs_36 yongs_42 su_48 gzung_51 ba_57 ma_60 mchis_63 so_69 
K04D0012_H0011:7b-0	de bzhin du shes rab kyi pha rol tu phyin @7b pa la tshor ba dang /	de_0 bzhin_3 du_9 shes_12 rab_17 kyi_21 pha_25 rol_29 tu_33 phyin_36 ba_46 la_49 tshor_52 ba_58 dang_61 
K04D0012_H0011:7b-1	'du shes dang /	'du_0 shes_4 dang_9 
K04D0012_H0011:7b-2	'du byed rnams dang /	'du_0 byed_4 rnams_9 dang_15 
K04D0012_H0011:7b-3	rnam par shes pa yongs su gzung ba ma mchis so //	rnam_0 ba_5 shes_9 ba_14 yongs_17 su_23 gzung_26 ba_32 ma_35 mchis_38 so_44 
K04D0012_H0011:7b-4	gzugs yongs su gzung ba ma mchis pa gang lags pa de ni /	gzugs_0 yongs_6 su_12 gzung_15 ba_21 ma_24 mchis_27 ba_33 gang_36 lags_41 ba_46 de_49 ni_52 
K04D0012_H0011:7b-5	gzugs ma lags /	gzugs_0 ma_6 lags_9 
K04D0012_H0011:7b-6	de bzhin du tshor ba gang lags pa dang /	de_0 bzhin_3 du_9 tshor_12 ba_18 gang_21 lags_26 ba_31 dang_34 
K04D0012_H0011:7b-7	'du shes gang lags pa dang /	'du_0 shes_4 gang_9 lags_14 ba_19 dang_22 
K04D0012_H0011:7b-8	'du byed rnams gang lags pa dang /	'du_0 byed_4 rnams_9 gang_15 lags_20 ba_25 dang_28 
K04D0012_H0011:7b-9	rnam par shes pa yongs su gzung ba ma mchis	rnam_0 ba_5 shes_9 ba_14 yongs_17 su_23 gzung_26 ba_32 ma_35 mchis_38 
K04D0012_H0011:7b-10	pa gang lags pa de ni; rnam par shes pa	ba_0 gang_3 lags_8 ba_13 de_16 ni;_19 rnam_23 ba_28 shes_32 ba_37 
K04D0012_H0011:7b-11	ma lags te / shes rab kyi pha rol tu	ma_0 lags_3 te_8 shes_13 rab_18 kyi_22 pha_26 rol_30 tu_34 
K04D0012_H0011:7b-12	phyin pa de'ang yongs su gzung ba ma mchis so	phyin_0 ba_6 de_9 yongs_16 su_22 gzung_25 ba_31 ma_34 mchis_37 so_43 
K04D0012_H0011:7b-13	ma lags te / // de bzhin du byang chub	ma_0 lags_3 te_8 de_16 bzhin_19 du_25 byang_28 chub_34 
K04D0012_H0011:7b-14	sems dpa' sems dpa' chen pos shes rab kyi pha	sems_0 dpa'_5 sems_10 dpa'_15 chen_20 pos_25 shes_29 rab_34 kyi_38 pha_42 
K04D0012_H0011:7b-15	rol tu phyin pa 'di la spyad par bgyi'o //	rol_0 tu_4 phyin_7 ba_13 'di_16 la_20 spyod_23 ba_29 bgyid_33 
K04D0012_H0011:7b-16	'di'ang byang chub sems dpa' sems dpa' chen po'i chos	'di_0 byang_8 chub_14 sems_19 dpa'_24 sems_29 dpa'_34 chen_39 po_44 chos_49 
K04D0012_H0011:7b-17	thams cad yongs su gzung ba ma mchis pa zhes	thams_0 cad_6 yongs_10 su_16 gzung_19 ba_25 ma_28 mchis_31 ba_37 zhes_40 
K04D0012_H0011:7b-18	bgyi ba'i ting nge 'dzin te /	bgyid_0 ba_5 ting_10 nge_15 'dzin_19 te_25 
K04D0012_H0011:7b-19	yangs pa mdun du bgyis pa tshad med par nges	yangs_0 ba_6 mdun_9 du_14 bgyid_17 ba_23 tshad_26 med_32 ba_36 nges_40 
K04D0012_H0011:7b-20	pa nyan thos dang rang sangs rgyas thams cad dang	ba_0 nyan_3 thos_8 dang_13 rang_18 sangs_23 rgya_29 thams_35 cad_41 dang_45 
K04D0012_H0011:7b-21	thun mong ma lags pa'o //	thun_0 mong_5 ma_10 lags_13 ba_18 
K04D0012_H0011:7b-22	thams cad mkhyen pa nyid de'ang yongs su gzung ba ma mchis te /	thams_0 cad_6 mkhyen_10 ba_17 nyid_20 de_25 yongs_32 su_38 gzung_41 ba_47 ma_50 mchis_53 te_59 
K04D0012_H0011:7b-23	mtshan mar gzung ba ma lags so //	mtshan_0 mar_7 gzung_11 ba_17 ma_20 lags_23 so_28 
K04D0012_H0011:7b-24	gal te mtshan mar bzung bar gyur na /	gal_0 te_4 mtshan_7 mar_14 bzung_18 ba_24 gyur_28 na_33 
K04D0012_H0011:7b-25	kun tu rgyu phreng ba can 'di la dad par mi 'gyur ba zhig na /	kun_0 tu_4 rgyu_7 phreng_12 ba_19 can_22 'di_26 la_30 dad_33 ba_37 mi_41 'gyur_44 ba_50 'jig_53 na_58 
K04D0012_H0011:7b-26	kun tu rgyu phreng ba can thams cad mkhyen pa'i	kun_0 tu_4 rgyu_7 phreng_12 ba_19 can_22 thams_26 cad_32 mkhyen_36 ba_43 
K04D0012_H0011:7b-27	ye shes 'di la mos nas dad pas rjes su	ye_0 shes_3 'di_8 la_12 mos_15 nas_19 dad_23 ba_27 rjes_31 su_36 
K04D0012_H0011:7b-28	'brang zhing phyogs gcig pa'i ye shes kyis zhugs so	'brang_0 zhing_7 phyogs_13 gcig_20 ba_25 ye_30 shes_33 kyis_38 'jug_43 so_49 
K04D0012_H0011:7b-29	// de zhugs nas gzugs yongs su mi 'dzin to //	de_3 'jug_6 nas_12 gzugs_16 yongs_22 su_28 mi_31 'dzin_34 to_40 
K04D0012_H0011:7b-30	de bzhin du tshor ba ma lags /	de_0 bzhin_3 du_9 tshor_12 ba_18 ma_21 lags_24 
K04D0012_H0011:8a-0	'du @8a *//	'du_0 
K04D0012_H0011:8a-1	shes ma lags /	shes_0 ma_5 lags_8 
K04D0012_H0011:8a-2	'du byed rnams ma lags /	'du_0 byed_4 rnams_9 ma_15 lags_18 
K04D0012_H0011:8a-3	rnam par shes pa yongs su mi 'dzin to //	rnam_0 ba_5 shes_9 ba_14 yongs_17 su_23 mi_26 'dzin_29 to_35 
K04D0012_H0011:8a-4	de la shes pa de dga' ba dang /	de_0 la_3 shes_6 ba_11 de_14 dga'_17 ba_22 dang_25 
K04D0012_H0011:8a-5	bde bar yang yang dag par rjes su mi mthong ngo //	bde_0 ba_4 yang_8 yang_13 'dag_18 ba_22 rjes_26 su_31 mi_34 mthong_37 ngo_44 
